event_id,node_id,basin,start,end,duration_days,peak_discharge
ATT_JAE_20180929,ATT_JAE,AttanagaluOya,2018-09-29,2018-10-01,3,12.74
ATT_JAE_20181024,ATT_JAE,AttanagaluOya,2018-10-24,2018-10-24,1,6.66
ATT_JAE_20191015,ATT_JAE,AttanagaluOya,2019-10-15,2019-10-16,2,9.26
ATT_JAE_20191020,ATT_JAE,AttanagaluOya,2019-10-20,2019-10-21,2,6.94
ATT_JAE_20191220,ATT_JAE,AttanagaluOya,2019-12-20,2019-12-22,3,6.24
ATT_JAE_20200809,ATT_JAE,AttanagaluOya,2020-08-09,2020-08-09,1,5.59
ATT_JAE_20210113,ATT_JAE,AttanagaluOya,2021-01-13,2021-01-13,1,6.14
ATT_JAE_20211029,ATT_JAE,AttanagaluOya,2021-10-29,2021-10-30,2,6.48
ATT_JAE_20211108,ATT_JAE,AttanagaluOya,2021-11-08,2021-11-11,4,10.25
ATT_JAE_20220514,ATT_JAE,AttanagaluOya,2022-05-14,2022-05-14,1,6.31
ATT_JAE_20231021,ATT_JAE,AttanagaluOya,2023-10-21,2023-10-22,2,5.95
ATT_JAE_20231105,ATT_JAE,AttanagaluOya,2023-11-05,2023-11-08,4,6.6
ATT_JAE_20240520,ATT_JAE,AttanagaluOya,2024-05-20,2024-05-28,9,7.69
ATT_JAE_20240603,ATT_JAE,AttanagaluOya,2024-06-03,2024-06-03,1,5.95
ATT_JAE_20240818,ATT_JAE,AttanagaluOya,2024-08-18,2024-08-18,1,6.03
ATT_JAE_20241012,ATT_JAE,AttanagaluOya,2024-10-12,2024-10-12,1,6.43
ATT_JAE_20241015,ATT_JAE,AttanagaluOya,2024-10-15,2024-10-15,1,5.62
ATT_JAE_20241127,ATT_JAE,AttanagaluOya,2024-11-27,2024-11-30,4,6.96
ATT_NIT_20040926,ATT_NIT,AttanagaluOya,2004-09-26,2004-09-30,5,55.49
ATT_NIT_20041101,ATT_NIT,AttanagaluOya,2004-11-01,2004-11-02,2,29.41
ATT_NIT_20041111,ATT_NIT,AttanagaluOya,2004-11-11,2004-11-13,3,28.72
ATT_NIT_20061020,ATT_NIT,AttanagaluOya,2006-10-20,2006-11-29,41,65.22
ATT_NIT_20080229,ATT_NIT,AttanagaluOya,2008-02-29,2008-02-29,1,31.14
ATT_NIT_20081020,ATT_NIT,AttanagaluOya,2008-10-20,2008-10-21,2,31.58
ATT_NIT_20121029,ATT_NIT,AttanagaluOya,2012-10-29,2012-10-30,2,29.06
ATT_NIT_20121124,ATT_NIT,AttanagaluOya,2012-11-24,2012-11-29,6,44.08
ATT_NIT_20130107,ATT_NIT,AttanagaluOya,2013-01-07,2013-01-08,2,34.32
ATT_NIT_20130324,ATT_NIT,AttanagaluOya,2013-03-24,2013-03-25,2,35.56
ATT_NIT_20141222,ATT_NIT,AttanagaluOya,2014-12-22,2014-12-29,8,38.36
ATT_NIT_20151018,ATT_NIT,AttanagaluOya,2015-10-18,2015-11-05,19,50.17
ATT_NIT_20160515,ATT_NIT,AttanagaluOya,2016-05-15,2016-05-23,9,123.74
ATT_NIT_20171031,ATT_NIT,AttanagaluOya,2017-10-31,2017-11-01,2,35.06
ATT_NIT_20171104,ATT_NIT,AttanagaluOya,2017-11-04,2017-11-09,6,41.85
ATT_NIT_20191015,ATT_NIT,AttanagaluOya,2019-10-15,2019-10-25,11,45.34
ATT_NIT_20201115,ATT_NIT,AttanagaluOya,2020-11-15,2020-11-16,2,30.62
ATT_NIT_20211108,ATT_NIT,AttanagaluOya,2021-11-08,2021-11-13,6,38.26
ATT_NIT_20231021,ATT_NIT,AttanagaluOya,2023-10-21,2023-10-24,4,39.64
ATT_NIT_20231104,ATT_NIT,AttanagaluOya,2023-11-04,2023-11-14,11,37.02
ATT_NIT_20231122,ATT_NIT,AttanagaluOya,2023-11-22,2023-11-23,2,29.55
ATT_NIT_20240527,ATT_NIT,AttanagaluOya,2024-05-27,2024-05-28,2,31.73
ATT_NIT_20241128,ATT_NIT,AttanagaluOya,2024-11-28,2024-11-30,3,30.99
ATT_VEY_20040926,ATT_VEY,AttanagaluOya,2004-09-26,2004-09-30,5,33.91
ATT_VEY_20061020,ATT_VEY,AttanagaluOya,2006-10-20,2006-11-28,40,25.73
ATT_VEY_20080229,ATT_VEY,AttanagaluOya,2008-02-29,2008-02-29,1,14.35
ATT_VEY_20080315,ATT_VEY,AttanagaluOya,2008-03-15,2008-03-15,1,10.25
ATT_VEY_20081016,ATT_VEY,AttanagaluOya,2008-10-16,2008-10-22,7,12.93
ATT_VEY_20121124,ATT_VEY,AttanagaluOya,2012-11-24,2012-11-29,6,22.33
ATT_VEY_20130107,ATT_VEY,AttanagaluOya,2013-01-07,2013-01-08,2,20.53
ATT_VEY_20130324,ATT_VEY,AttanagaluOya,2013-03-24,2013-03-25,2,23.89
ATT_VEY_20141220,ATT_VEY,AttanagaluOya,2014-12-20,2014-12-29,10,14.81
ATT_VEY_20151013,ATT_VEY,AttanagaluOya,2015-10-13,2015-10-14,2,12.21
ATT_VEY_20151018,ATT_VEY,AttanagaluOya,2015-10-18,2015-11-05,19,23.21
ATT_VEY_20160515,ATT_VEY,AttanagaluOya,2016-05-15,2016-05-20,6,81.22
ATT_VEY_20171031,ATT_VEY,AttanagaluOya,2017-10-31,2017-11-11,12,19.8
ATT_VEY_20180929,ATT_VEY,AttanagaluOya,2018-09-29,2018-09-30,2,11.13
ATT_VEY_20191015,ATT_VEY,AttanagaluOya,2019-10-15,2019-10-24,10,17.92
ATT_VEY_20201115,ATT_VEY,AttanagaluOya,2020-11-15,2020-11-17,3,16.7
ATT_VEY_20210113,ATT_VEY,AttanagaluOya,2021-01-13,2021-01-14,2,11.19
ATT_VEY_20211108,ATT_VEY,AttanagaluOya,2021-11-08,2021-11-17,10,17.41
ATT_VEY_20231021,ATT_VEY,AttanagaluOya,2023-10-21,2023-10-24,4,13.76
ATT_VEY_20231105,ATT_VEY,AttanagaluOya,2023-11-05,2023-11-10,6,11.3
ATT_VEY_20231122,ATT_VEY,AttanagaluOya,2023-11-22,2023-11-23,2,10.67
ATT_VEY_20241127,ATT_VEY,AttanagaluOya,2024-11-27,2024-11-30,4,11.71
BAT_BAT_20041215,BAT_BAT,Batticaloa,2004-12-15,2004-12-18,4,170.79
